code,O,Omega,Theta
umb = 507,O(1),O(1),O(1)
cfy = 646,O(1),O(1),O(1)
tih = 984,O(1),O(1),O(1)
cvl = 553,O(1),O(1),O(1)
ash = 574,O(1),O(1),O(1)
ooi = 191,O(1),O(1),O(1)
nlj = 412,O(1),O(1),O(1)
tew = 1000,O(1),O(1),O(1)
fov = 284,O(1),O(1),O(1)
rwq = 630,O(1),O(1),O(1)
fdr = 396,O(1),O(1),O(1)
kfd = 947,O(1),O(1),O(1)
qjo = 837,O(1),O(1),O(1)
gtp = 230,O(1),O(1),O(1)
xyk = 304,O(1),O(1),O(1)
wbd = 232,O(1),O(1),O(1)
dqo = 759,O(1),O(1),O(1)
uhm = 387,O(1),O(1),O(1)
qco = 565,O(1),O(1),O(1)
epi = 877,O(1),O(1),O(1)
ufg = 517,O(1),O(1),O(1)
jpg = 457,O(1),O(1),O(1)
hre = 199,O(1),O(1),O(1)
ovt = 944,O(1),O(1),O(1)
tul = 432,O(1),O(1),O(1)
pnd = 980,O(1),O(1),O(1)
hec = 972,O(1),O(1),O(1)
zfv = 690,O(1),O(1),O(1)
tov = 98,O(1),O(1),O(1)
abo = 707,O(1),O(1),O(1)
vfi = 654,O(1),O(1),O(1)
gzy = 405,O(1),O(1),O(1)
sfy = 427,O(1),O(1),O(1)
doc = 814,O(1),O(1),O(1)
luw = 748,O(1),O(1),O(1)
uqr = 729,O(1),O(1),O(1)
jsn = 178,O(1),O(1),O(1)
apq = 5,O(1),O(1),O(1)
mgq = 115,O(1),O(1),O(1)
nrk = 433,O(1),O(1),O(1)
unb = 791,O(1),O(1),O(1)
ons = 462,O(1),O(1),O(1)
gir = 467,O(1),O(1),O(1)
hwe = 340,O(1),O(1),O(1)
wva = 662,O(1),O(1),O(1)
lvh = 184,O(1),O(1),O(1)
svi = 824,O(1),O(1),O(1)
rrh = 159,O(1),O(1),O(1)
xyv = 596,O(1),O(1),O(1)
qnq = 438,O(1),O(1),O(1)
egu = 661,O(1),O(1),O(1)
krz = 432,O(1),O(1),O(1)
xrt = 835,O(1),O(1),O(1)
ygn = 387,O(1),O(1),O(1)
axf = 101,O(1),O(1),O(1)
xle = 560,O(1),O(1),O(1)
wkg = 349,O(1),O(1),O(1)
kym = 225,O(1),O(1),O(1)
ggf = 464,O(1),O(1),O(1)
mgg = 593,O(1),O(1),O(1)
bat = 473,O(1),O(1),O(1)
sdt = 951,O(1),O(1),O(1)
ckq = 2,O(1),O(1),O(1)
gdq = 286,O(1),O(1),O(1)
zog = 324,O(1),O(1),O(1)
aub = 53,O(1),O(1),O(1)
ryc = 170,O(1),O(1),O(1)
dzn = 553,O(1),O(1),O(1)
nbp = 953,O(1),O(1),O(1)
ego = 406,O(1),O(1),O(1)
fjk = 189,O(1),O(1),O(1)
nyy = 476,O(1),O(1),O(1)
mbs = 26,O(1),O(1),O(1)
xen = 486,O(1),O(1),O(1)
byd = 536,O(1),O(1),O(1)
jkv = 221,O(1),O(1),O(1)
alz = 224,O(1),O(1),O(1)
hvd = 330,O(1),O(1),O(1)
cys = 957,O(1),O(1),O(1)
oyc = 437,O(1),O(1),O(1)
niv = 886,O(1),O(1),O(1)
xvf = 97,O(1),O(1),O(1)
hlp = 635,O(1),O(1),O(1)
uje = 947,O(1),O(1),O(1)
zsk = 917,O(1),O(1),O(1)
tct = 491,O(1),O(1),O(1)
czs = 498,O(1),O(1),O(1)
zdw = 127,O(1),O(1),O(1)
rlz = 410,O(1),O(1),O(1)
htf = 369,O(1),O(1),O(1)
gbd = 970,O(1),O(1),O(1)
qxn = 538,O(1),O(1),O(1)
bcz = 874,O(1),O(1),O(1)
jca = 272,O(1),O(1),O(1)
ouw = 944,O(1),O(1),O(1)
gsm = 988,O(1),O(1),O(1)
grz = 271,O(1),O(1),O(1)
vad = 559,O(1),O(1),O(1)
wbn = 914,O(1),O(1),O(1)
wbc = 636,O(1),O(1),O(1)
"for azy in range(n):
    print(azy)",O(n),O(n),O(n)
"for wjv in range(n):
    print(wjv**2)",O(n),O(n),O(n)
"for wtr in range(n):
    print(wtr*2)",O(n),O(n),O(n)
"for qpa in range(n):
    print(qpa**2)",O(n),O(n),O(n)
"for ejf in range(n):
    print(ejf)",O(n),O(n),O(n)
"for fsd in range(n):
    print(fsd)",O(n),O(n),O(n)
"for dzt in range(n):
    print(dzt**2)",O(n),O(n),O(n)
"for lut in range(n):
    print(lut)",O(n),O(n),O(n)
"for xhi in range(n):
    print(xhi)",O(n),O(n),O(n)
"for krd in range(n):
    print(krd**2)",O(n),O(n),O(n)
"for awz in range(n):
    print(awz)",O(n),O(n),O(n)
"for wsq in range(n):
    print(wsq**2)",O(n),O(n),O(n)
"for fzx in range(n):
    print(fzx*2)",O(n),O(n),O(n)
"for vch in range(n):
    print(vch*2)",O(n),O(n),O(n)
"for rfz in range(n):
    print(rfz**2)",O(n),O(n),O(n)
"for awf in range(n):
    print(awf**2)",O(n),O(n),O(n)
"for kok in range(n):
    print(kok**2)",O(n),O(n),O(n)
"for juv in range(n):
    print(juv)",O(n),O(n),O(n)
"for sss in range(n):
    print(sss)",O(n),O(n),O(n)
"for onj in range(n):
    print(onj**2)",O(n),O(n),O(n)
"for lhg in range(n):
    print(lhg**2)",O(n),O(n),O(n)
"for bnx in range(n):
    print(bnx)",O(n),O(n),O(n)
"for rml in range(n):
    print(rml*2)",O(n),O(n),O(n)
"for sie in range(n):
    print(sie**2)",O(n),O(n),O(n)
"for cmj in range(n):
    print(cmj)",O(n),O(n),O(n)
"for axh in range(n):
    print(axh*2)",O(n),O(n),O(n)
"for bzq in range(n):
    print(bzq**2)",O(n),O(n),O(n)
"for ree in range(n):
    print(ree)",O(n),O(n),O(n)
"for wug in range(n):
    print(wug**2)",O(n),O(n),O(n)
"for ild in range(n):
    print(ild**2)",O(n),O(n),O(n)
"for lpn in range(n):
    print(lpn*2)",O(n),O(n),O(n)
"for rwd in range(n):
    print(rwd**2)",O(n),O(n),O(n)
"for zzy in range(n):
    print(zzy**2)",O(n),O(n),O(n)
"for rqm in range(n):
    print(rqm)",O(n),O(n),O(n)
"for lsp in range(n):
    print(lsp)",O(n),O(n),O(n)
"for ras in range(n):
    print(ras**2)",O(n),O(n),O(n)
"for gxj in range(n):
    print(gxj**2)",O(n),O(n),O(n)
"for phy in range(n):
    print(phy**2)",O(n),O(n),O(n)
